x1 x2 x3 x4 x5 x6 x7 x8 y
57 5 4 -6 6 -8 -10 0 98 12.6
58 -9 -18 -16 4 -8 -10 4 19 2.8
59 5 10 2 6 -8 18 -10 79 5.88
60 -11 12 22 2 6 -8 14 21 3.38
61 -9 2 0 -8 2 0 -20 94 7.1
62 -3 24 26 -12 26 -4 -18 69 4.43
63 11 -16 -8 14 -8 10 -10 31 9.47
64 17 -20 -24 10 -16 2 0 59 4.92
65 -1 14 18 10 0 26 -20 31 2.44
66 -15 24 24 0 0 10 -16 29 2.03
67 13 2 -10 4 2 12 -18 73 10.35
68 3 -10 -18 0 -16 -14 4 48 5.65
69 -17 -6 -18 -10 -16 -6 8 81 2.02
70 9 -16 -22 -12 10 -4 2 25 3.45
71 1 -6 -8 8 10 16 -18 58 8.94
72 3 22 32 0 16 18 -14 25 9.69
73 13 -4 2 2 -10 0 14 24 13.81
74 -7 2 4 10 0 22 -10 44 2.66
75 3 0 -6 -4 8 -22 16 83 2.55
76 9 -2 0 8 -2 0 20 49 5.61
77 17 10 4 -6 18 4 -12 33 3.21
78 13 -18 -26 16 -8 2 6 6 3.41
79 15 -24 -24 0 0 -10 16 22 3.95
80 1 6 -2 -22 10 -16 -4 14 2.28
81 -7 -4 -4 10 0 -6 0 78 10.65
82 -9 20 8 -4 -8 2 -6 28 5.7
83 -17 10 12 -6 -8 6 -12 82 7.35
84 -9 -12 -8 4 -8 18 -6 75 6.69
85 21 -12 -10 0 0 -6 6 90 6.01
86 9 -12 -12 12 -26 8 8 40 1.01
87 -13 2 -4 -20 0 -14 14 94 10.14
88 1 2 12 -6 8 -14 0 6 -2.33
89 3 20 10 -16 18 -12 -8 12 4.05
90 23 2 2 6 8 -2 2 1 -0.9
91 -1 -8 -20 6 -8 -14 10 61 10.72
92 -3 -22 -32 0 -16 -18 14 30 -2.72
93 11 14 20 -2 26 12 -22 2 -0.52
94 -7 10 24 -4 -2 -8 8 53 16
95 -13 18 26 -16 8 -2 -6 23 -0.55
96 -1 -6 2 22 -10 16 4 57 4.77
97 -5 28 22 -14 8 -6 0 14 2.27
98 -9 16 22 12 -10 4 -2 91 8.13
99 5 2 6 -2 26 8 -12 95 7.36
100 19 -6 -12 16 -8 6 -4 67 4.71
101 7 -2 -4 -10 0 -22 10 9 2.93
102 -1 -2 -12 6 -8 14 0 5 3.42
103 -23 -2 -2 -6 -8 2 -2 58 6.78
104 15 -8 6 4 8 2 -4 97 4.97
105 -7 -6 -6 -8 -10 -20 28 18 0.47
106 17 6 18 10 16 6 -8 8 7.64
107 1 -8 -10 -10 0 2 10 23 4.9
108 11 -12 -22 -2 -6 8 -14 87 6.91
109 1 -14 -18 -10 0 -26 20 58 6.46
110 5 -8 -6 2 2 16 -24 76 6.94
111 -13 4 -2 -2 10 0 -14 9 -8.69
112 -17 -10 -4 6 -18 -4 12 89 11.03
113 -5 -4 6 -6 8 10 0 70 4.18
114 -11 2 10 6 -18 0 2 81 5.16
115 -7 14 10 -20 0 -10 4 82 8.7
116 -5 24 36 2 6 -4 4 98 6.83
117 9 12 8 -4 8 -18 6 25 3.27
118 17 -10 -12 6 8 -6 12 9 1.71
119 3 -12 -6 -8 18 4 -8 86 7.78
120 15 -4 -8 -12 10 0 -8 11 0.2
121 -17 20 24 -10 16 -2 0 59 6.86
122 1 20 20 -2 -2 -12 14 91 12.06
123 3 6 2 -4 8 6 6 62 7.1
124 -5 -2 -6 2 -26 -8 12 91 11.21
125 9 -20 -8 4 8 -2 6 87 5.79
126 5 6 16 22 -10 20 -6 92 15.3
127 -11 6 -4 -10 -16 -2 -2 64 7.33
128 3 -24 -26 12 -26 4 18 53 7.76
